author,comments,name,press,price,rank
东野圭吾,432794条评论,东野圭吾：恶意（2016版，东野圭吾四大杰作之一）,南海出版公司,¥29.60,119.
琬如,10323条评论,飞花令里读诗词 第二辑 风花雪月 套装共4册 赠古诗词临摹字帖,四川人民出版社,¥59.40,123.
何权峰,103440条评论,格局,江苏文艺出版社,¥18.00,124.
中国教育科学研究院早期教育研究中心,25541条评论,《幼儿学古诗（全2册）》,教育科学出版社,¥40.00,125.
七尾纯,201339条评论,可爱的身体 （全8册）,南海出版公司,¥59.00,126.
凯利,458339条评论,自控力（畅销300万册纪念版！斯坦福大学广受欢迎的心理学课程！从,文化发展出版社,¥31.10,127.
大冰,455551条评论,你坏（大冰2018作品！预售10分钟8.6万册+，30分钟突破11.8万册，,湖南文艺出版社,¥22.90,128.
乔瑞玲,67878条评论,董卿：做一个有才情的女子,百花洲文艺出版社,¥19.90,87.
刘慈欣,1232条评论,刘慈欣科幻作品典藏套装,重庆出版社,¥149.00,88.
陈磊,861793条评论,半小时漫画中国史1+中国史2+中国史3+世界史（套装共4册，作者签章,江苏文艺出版社,¥79.80,89.
高士其,45892条评论,细菌世界历险记（中小学语文新课标必读名著 ）菌儿自传 高士其科,人民邮电出版社,¥14.80,90.
入山智,105422条评论,小鸡球球触感玩具书：全5册,长江少年儿童出版社,¥125.00,91.
加西亚·马尔克斯,1230293条评论,马尔克斯：百年孤独（50周年纪念版）,南海出版公司,¥41.30,39.
安托万·德·圣埃克苏佩里,934014条评论,小王子（畅销300万册，作者基金会官方认证简体中文版）【果麦经典,天津人民出版社,¥16.00,40.
冯友兰,141155条评论,中国哲学简史（独家附赠冯友兰先生历史老照片),北京大学出版社,¥24.80,73.
毛姆,300865条评论,月亮和六便士（全新导读无删节详注版！ 半年创当当110000名读者五,时代文艺出版社,¥11.80,74.
余华,179274条评论,活着（精装版，余华代表作，易烊千玺推荐阅读版本）,北京十月文艺出版社,¥21.00,75.
蔡康永,10488条评论,蔡康永经典系列套装（蔡康永的说话之道1.2+蔡康永的情商课）,湖南文艺出版社,¥53.00,76.
克莱儿·麦克福尔,1105047条评论,摆渡人（如果命运是一条孤独的河流，谁会是你灵魂的摆渡人？）,百花洲文艺出版社,¥17.90,77.
乔斯坦·贾德,106840条评论,苏菲的世界（新版）,作家出版社,¥28.50,120.
琬如,70722条评论,飞花令里读诗词 第一辑 春夏秋冬 套装共4册,时代文艺出版社,¥49.50,129.
玛乌戈热塔·梅切尔斯卡,12911条评论,《不可思议的发明》手绘科普绘本,贵州人民出版社,¥38.00,130.
斯塔夫里阿诺斯,257373条评论,全球通史:从史前史到21世纪（第7版修订版上下册，当当独家赠送全,北京大学出版社,¥59.60,131.
贾平凹,619802条评论,自在独行     贾平凹的独行世界,长江文艺出版社,¥19.50,132.
说词解字辞书研究中心,123756条评论,小学生必背古诗词75+80首 近12万多读者好评，不同印次随机发货。,华语教学出版社,¥21.70,92.
瑞·达利欧,139498条评论,原则 principles 雷·达里奥著 跨年演讲推荐图书 团购电话:40010,中信出版社,¥58.80,93.
林语堂,297599条评论,苏东坡传（林语堂精装2018版）（1-9年级必读书单）,湖南文艺出版社,¥26.00,94.
林汉达,216732条评论,上下五千年（最新版）,少年儿童出版社,¥44.00,95.
克利斯提昂,559964条评论,不一样的卡梅拉手绘本（1-12册）,２１世纪出版社,¥67.00,96.
马歇尔,268559条评论,非暴力沟通,华夏出版社,¥38.70,97.
玖月晞,28063条评论,少年的你，如此美丽(金马影后周冬雨 ，TFBOYS当红小生易烊千玺主,百花洲文艺出版社,¥16.00,98.
伊丽莎白·弗迪克,111725条评论,手不是用来打人的（儿童好品德系列，全5册）,贵州教育出版社,¥49.50,78.
玛兹丽施,519738条评论,如何说孩子才会听 怎么听孩子才肯说（全新修订版）,中央编译出版社,¥18.40,133.
歪歪兔关键期早教项目组,70189条评论,学会管自己幼儿版-歪歪兔自控力教育系列绘本,海豚出版社,¥51.70,134.
曹雪芹,257940条评论,红楼梦原著版（上、下册）（全两册）（1-9年级必读书单）,人民文学出版社,¥32.80,135.
莫提默·J.艾德勒,244722条评论,如何阅读一本书,商务印书馆,¥29.90,136.
王国维,354624条评论,人间词话（近代极富盛名的词话著作，集编、校、释、评于一体，赏,北京联合出版公司,¥12.80,137.
林清玄,103722条评论,人生最美是清欢（林清玄经典散文集，执笔45周年白金纪念版！）,北京十月文艺出版社,¥34.20,99.
戴维·伽特森,264799条评论,雪落香杉树 (福克纳奖得主，全球畅销500万册),作家出版社,¥26.00,100.
儒勒·凡尔纳,91410条评论,海底两万里（新课标）,浙江工商大学出版社,¥18.50,79.
老杨的猫头鹰,195694条评论,好看的皮囊千篇一律，有趣的灵魂万里挑一（老杨的猫头鹰最新作品,现代出版社,¥19.90,80.
克兰兹,166117条评论,独一无二的你+勇敢做自己,北京科学技术出版社,¥29.00,181.
简·尼尔森,661760条评论,《正面管教》修订版,北京联合出版公司,¥21.30,41.
天下霸唱,117145条评论,鬼吹灯全集 网剧黄皮子坟正在热映 套装共8册,青岛出版社,¥124.20,138.
尹建莉,251230条评论,好妈妈胜过好老师（700万册纪念版）,作家出版社,¥24.50,139.
佐佐木洋子,669199条评论,小熊宝宝绘本（2018版全15册）蒲蒲兰经典畅销绘本！新手妈妈的育,连环画出版社,¥67.20,140.
三毛,193550条评论,三毛全集02：撒哈拉的故事（1-9年级必读书单）,北京十月文艺出版社,¥24.20,182.
傅雷,47882条评论,傅雷家书（经典译林 精装本）,译林出版社,¥39.50,183.
巫哲,16259条评论,撒野（巫哲新书）,北京联合出版有限公司,¥24.80,184.
